model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1
,,,,,,,,,
BIM_Trainer,baseline,0,0.0001759140199285454,3.518280398570908e-05,3.0945742407420666e-08,0.2,0.0001759140199285454,7.035323185158819e-05,6.188059914988931e-08
BIM_Trainer,BIM,0.01,0.0001759140199285454,3.518280398570908e-05,3.0945742407420666e-08,0.2,0.0001759140199285454,7.035323185158819e-05,6.188059914988931e-08
BIM_Trainer,BIM,0.1,0.0001759140199285454,3.518280398570908e-05,3.0945742407420666e-08,0.2,0.0001759140199285454,7.035323185158819e-05,6.188059914988931e-08
BIM_Trainer,BIM,0.2,0.0001759140199285454,3.518280398570908e-05,3.0945742407420666e-08,0.2,0.0001759140199285454,7.035323185158819e-05,6.188059914988931e-08
BIM_Trainer,BIM,0.3,0.0001759140199285454,3.518280398570908e-05,3.0945742407420666e-08,0.2,0.0001759140199285454,7.035323185158819e-05,6.188059914988931e-08
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1
,,,,,,,,,
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1
,,,,,,,,,
BIM_Trainer,baseline,0,0.9979979309160513,0.7904269802300761,0.997841871757006,0.6800410754294249,0.9979979309160513,0.7247853451405156,0.9977898372315457
BIM_Trainer,BIM,0.01,0.9972817095491994,0.5887380979707102,0.9969478773354786,0.5326456310679613,0.9972817095491994,0.5544395732687134,0.9968770458594747
BIM_Trainer,BIM,0.1,0.02657558229634811,0.04677666411396704,0.11949789619353429,0.09843889597279401,0.02657558229634811,0.034873633430311586,0.016653189915293094
BIM_Trainer,BIM,0.2,0.0027769284574434665,0.008834343452579182,0.03669613324390614,0.0068016259480634484,0.0027769284574434665,0.0012359671915894732,0.004795039698514579
BIM_Trainer,BIM,0.3,0.0025633185761016614,0.008952378786845237,0.03662632888832391,0.0006123055597139339,0.0025633185761016614,0.0011459086162993023,0.0047912001868299315
BIM_Trainer,baseline,0,0.9979979309160513,0.7904269802300761,0.997841871757006,0.6800410754294249,0.9979979309160513,0.7247853451405156,0.9977898372315457
BIM_Trainer,BIM,0.01,0.9972817095491994,0.5887380979707102,0.9969478773354786,0.5326456310679613,0.9972817095491994,0.5544395732687134,0.9968770458594747
BIM_Trainer,BIM,0.1,0.02657558229634811,0.04677666411396704,0.11949789619353429,0.09843889597279401,0.02657558229634811,0.034873633430311586,0.016653189915293094
BIM_Trainer,BIM,0.2,0.0027769284574434665,0.008834343452579182,0.03669613324390614,0.0068016259480634484,0.0027769284574434665,0.0012359671915894732,0.004795039698514579
BIM_Trainer,BIM,0.3,0.0025633185761016614,0.008952378786845237,0.03662632888832391,0.0006123055597139339,0.0025633185761016614,0.0011459086162993023,0.0047912001868299315
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1
,,,,,,,,,
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1
,,,,,,,,,
