model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1
,,,,,,,,,
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1
,,,,,,,,,
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1
,,,,,,,,,
FGSM_Trainer,baseline,0,0.9271087693138934,0.18542175386277868,0.8595306701387221,0.2,0.9271087693138934,0.19243517212450253,0.892041678005274
FGSM_Trainer,FGSM,0.01,0.9271087693138934,0.18542175386277868,0.8595306701387221,0.2,0.9271087693138934,0.19243517212450253,0.892041678005274
FGSM_Trainer,FGSM,0.1,0.9271087693138934,0.18542175386277868,0.8595306701387221,0.2,0.9271087693138934,0.19243517212450253,0.892041678005274
FGSM_Trainer,FGSM,0.2,0.9271087693138934,0.18542175386277868,0.8595306701387221,0.2,0.9271087693138934,0.19243517212450253,0.892041678005274
FGSM_Trainer,FGSM,0.3,0.9271087693138934,0.18542175386277868,0.8595306701387221,0.2,0.9271087693138934,0.19243517212450253,0.892041678005274
