Attack,Epsilon,Def0,Def1,Def2,Def3,Def4,Def5,Def6,Def7,Def8,Def9,Def10,Def11
baseline,0.0,0.9070354096786635,0.8940081061427905,0.9011513010919987,0.9036752185516207,0.8591276211550585,0.862158098429559,0.8840440016610557,0.9074362292596627,0.8932036607869517,0.9073674118536312,0.9135450741243674,0.86543043699007
BIM,0.01,0.8646819154737568,0.9031857256300049,0.8907092631039799,0.896122899479415,0.8476400659816472,0.8517445978265863,0.8688014309028509,0.8646417036870204,0.8645682831355156,0.8991869111271651,0.9017718087503435,0.8536323644121191
BIM,0.1,0.5234451561462188,0.8827732400984971,0.72953442686379,0.8163627429053035,0.7011635398973813,0.6547073536931972,0.7995164618054761,0.5232289270878028,0.635682269989923,0.7832400858548039,0.7951437268210924,0.6761032528676261
BIM,0.2,0.050582490899224564,0.7204571513549458,0.6239780935808816,0.6852788760694473,0.4550691564782191,0.6092319245005637,0.7714171396610818,0.050440983163522246,0.49631956411811157,0.5091096771540256,0.6271619611840289,0.5201426611672431
BIM,0.3,0.008249288629382434,0.6156042132009254,0.4799460865934799,0.5905280212840485,0.35350987957604085,0.5773438658337946,0.7587806419297471,0.008240658556535965,0.347982710945419,0.3117820768980014,0.5523780861956957,0.37782891378161776
FGSM,0.01,0.8651619894038152,0.9034397429337189,0.8910708101783158,0.8964877966845965,0.8478255925507858,0.8532396183299342,0.8693434426111495,0.8653539846576903,0.8657513869935669,0.8991539191969475,0.9016535305837241,0.8538111938865068
FGSM,0.1,0.588033262673216,0.8854528351506139,0.7302434898638246,0.8054750336853885,0.7446158341846407,0.6550619630467401,0.792424012782031,0.5857080557990542,0.6682292562525549,0.7626084490107108,0.7785274494120986,0.7190913114038311
FGSM,0.2,0.24780396713543282,0.8079287843347769,0.566683850220904,0.6336323783772742,0.6294873693356715,0.6169350982298759,0.7855853270112825,0.24930162115318497,0.5841479362127117,0.3946721267286092,0.5801680071248458,0.6269423892757968
FGSM,0.3,0.18298600848818927,0.7710182727164083,0.4370315926924052,0.5138705484631736,0.4653961910815951,0.5798884117276818,0.8006420468984138,0.17984915200972096,0.5088451794066564,0.33086711656823664,0.3810586372337084,0.43199485778663027
PGD,0.01,0.8646819154737568,0.9031857256300049,0.8907092631039799,0.896122899479415,0.8476400659816472,0.8517445978265863,0.8688014309028509,0.8648469500445692,0.8645682831355156,0.8991869111271651,0.9017718087503435,0.8536323644121191
