model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,FGSM,0.2,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,FGSM,0.3,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,PGD,0.01,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,PGD,0.1,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,PGD,0.2,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,PGD,0.3,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,DF,0.01,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,DF,0.1,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,DF,0.2,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,DF,0.3,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,AutoPGD,0.01,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,AutoPGD,0.1,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,AutoPGD,0.2,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,AutoPGD,0.3,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,HopSkipJump,0,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,ZOO,0,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,ZOO,0.01,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,ZOO,0.1,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,ZOO,0.2,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
DNN,ZOO,0.3,0.31937949127409604,0.15968974563704802,0.10200325944650039,0.5,0.31937949127409604,0.24206795193222094,0.15462307868375014,0.5,0.5,0.5,0.5
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,baseline,0,0.9219275078748103,0.9073530827335373,0.9229601172873736,0.9151752772114763,0.9219275078748103,0.9110787681717081,0.9222986798076802,0.9151752772114763,0.0848247227885237,0.9151752772114763,0.0848247227885237
DNN,BIM,0.01,0.9121881882233199,0.8956251323632267,0.9137849036826562,0.9056073675361006,0.9121881882233199,0.9002961760689144,0.9127350376935943,0.9056073675361006,0.09439263246389944,0.9056073675361006,0.09439263246389944
DNN,BIM,0.1,0.7733019803283291,0.7419023111016174,0.7830768112682879,0.7570936740902805,0.7733019803283291,0.7477337447437267,0.776745701177793,0.7570936740902805,0.24290632590971956,0.7570936740902805,0.24290632590971956
DNN,BIM,0.2,0.5821217678181292,0.5761179505361509,0.6404383151774025,0.5874421796989671,0.5821217678181292,0.5651638654485623,0.5961841612879651,0.5874421796989671,0.41255782030103294,0.5874421796989671,0.41255782030103294
DNN,BIM,0.3,0.4835265111300243,0.5101970005448973,0.5759839947153925,0.5114758414871536,0.4835265111300243,0.4775000779171268,0.49777085257465986,0.5114758414871536,0.48852415851284625,0.5114758414871536,0.48852415851284625
DNN,FGSM,0.01,0.9123110264891946,0.8958231270860678,0.9138639835541927,0.9056101207741479,0.9123110264891946,0.9004095956904012,0.9128463023940516,0.9056101207741479,0.09438987922585207,0.9056101207741479,0.09438987922585207
DNN,FGSM,0.1,0.7663528441445631,0.733876222753389,0.7750518141461162,0.747140453814662,0.7663528441445631,0.7391218332767187,0.7695690645091346,0.747140453814662,0.25285954618533807,0.747140453814662,0.25285954618533807
DNN,FGSM,0.2,0.5800686139456528,0.575883522707606,0.64048959370934,0.5872243124731813,0.5800686139456528,0.5639399244426206,0.5942348409775602,0.5872243124731813,0.4127756875268187,0.5872243124731813,0.4127756875268187
DNN,FGSM,0.3,0.34390327363978557,0.3958194807997437,0.44737753287738163,0.39603746199334433,0.34390327363978557,0.34390224075492526,0.34360486381377403,0.39603746199334433,0.6039625380066557,0.39603746199334433,0.6039625380066557
DNN,PGD,0.01,0.9121881882233199,0.8956251323632267,0.9137849036826562,0.9056073675361006,0.9121881882233199,0.9002961760689144,0.9127350376935943,0.9056073675361006,0.09439263246389944,0.9056073675361006,0.09439263246389944
DNN,PGD,0.1,0.7733019803283291,0.7419023111016174,0.7830768112682879,0.7570936740902805,0.7733019803283291,0.7477337447437267,0.776745701177793,0.7570936740902805,0.24290632590971956,0.7570936740902805,0.24290632590971956
DNN,BIM,0.01,0.9121881882233199,0.8956251323632267,0.9137849036826562,0.9056073675361006,0.9121881882233199,0.9002961760689144,0.9127350376935943,0.9056073675361006,0.09439263246389944,0.9056073675361006,0.09439263246389944
DNN,BIM,0.1,0.7733019803283291,0.7419023111016174,0.7830768112682879,0.7570936740902805,0.7733019803283291,0.7477337447437267,0.776745701177793,0.7570936740902805,0.24290632590971956,0.7570936740902805,0.24290632590971956
DNN,BIM,0.2,0.5821217678181292,0.5761179505361509,0.6404383151774025,0.5874421796989671,0.5821217678181292,0.5651638654485623,0.5961841612879651,0.5874421796989671,0.41255782030103294,0.5874421796989671,0.41255782030103294
DNN,BIM,0.3,0.4835265111300243,0.5101970005448973,0.5759839947153925,0.5114758414871536,0.4835265111300243,0.4775000779171268,0.49777085257465986,0.5114758414871536,0.48852415851284625,0.5114758414871536,0.48852415851284625
DNN,FGSM,0.01,0.9123110264891946,0.8958231270860678,0.9138639835541927,0.9056101207741479,0.9123110264891946,0.9004095956904012,0.9128463023940516,0.9056101207741479,0.09438987922585207,0.9056101207741479,0.09438987922585207
DNN,FGSM,0.1,0.7663528441445631,0.733876222753389,0.7750518141461162,0.747140453814662,0.7663528441445631,0.7391218332767187,0.7695690645091346,0.747140453814662,0.25285954618533807,0.747140453814662,0.25285954618533807
DNN,FGSM,0.2,0.5800686139456528,0.575883522707606,0.64048959370934,0.5872243124731813,0.5800686139456528,0.5639399244426206,0.5942348409775602,0.5872243124731813,0.4127756875268187,0.5872243124731813,0.4127756875268187
DNN,FGSM,0.3,0.34390327363978557,0.3958194807997437,0.44737753287738163,0.39603746199334433,0.34390327363978557,0.34390224075492526,0.34360486381377403,0.39603746199334433,0.6039625380066557,0.39603746199334433,0.6039625380066557
DNN,PGD,0.01,0.9121881882233199,0.8956251323632267,0.9137849036826562,0.9056073675361006,0.9121881882233199,0.9002961760689144,0.9127350376935943,0.9056073675361006,0.09439263246389944,0.9056073675361006,0.09439263246389944
DNN,PGD,0.1,0.7733019803283291,0.7419023111016174,0.7830768112682879,0.7570936740902805,0.7733019803283291,0.7477337447437267,0.776745701177793,0.7570936740902805,0.24290632590971956,0.7570936740902805,0.24290632590971956
DNN,PGD,0.2,0.5821217678181292,0.5761179505361509,0.6404383151774025,0.5874421796989671,0.5821217678181292,0.5651638654485623,0.5961841612879651,0.5874421796989671,0.41255782030103294,0.5874421796989671,0.41255782030103294
DNN,PGD,0.3,0.4835265111300243,0.5101970005448973,0.5759839947153925,0.5114758414871536,0.4835265111300243,0.4775000779171268,0.49777085257465986,0.5114758414871536,0.48852415851284625,0.5114758414871536,0.48852415851284625
DNN,DF,0.01,0.12539154697247545,0.14133604664308955,0.1561259755816691,0.1500682393272891,0.12539154697247545,0.12521762956301102,0.12076190232899785,0.1500682393272891,0.8499317606727108,0.1500682393272891,0.8499317606727108
DNN,DF,0.1,0.12081143448772055,0.13666215502722834,0.151600692633548,0.14352489746720515,0.12081143448772055,0.12070447564377723,0.11720121186971988,0.14352489746720515,0.8564751025327948,0.14352489746720515,0.8564751025327948
DNN,DF,0.2,0.11729299558659659,0.13315662122613545,0.14831904330867643,0.1383666023937517,0.11729299558659659,0.11723140248773775,0.11456769505799225,0.1383666023937517,0.8616333976062482,0.1383666023937517,0.8616333976062482
DNN,DF,0.3,0.11459932789920244,0.13030464619705162,0.14541750490082042,0.13474010445729903,0.11459932789920244,0.11455493433914929,0.11229009262793743,0.13474010445729903,0.8652598955427009,0.13474010445729903,0.8652598955427009
DNN,AutoPGD,0.01,0.9200937080485386,0.9049743382793312,0.9213102409894228,0.9136896037178843,0.9200937080485386,0.9090984323952285,0.9205189504315178,0.9136896037178843,0.08631039628211573,0.9136896037178843,0.08631039628211573
DNN,AutoPGD,0.1,0.778575251599091,0.7497622900790428,0.7935760828303596,0.771035802223585,0.778575251599091,0.7567721104633627,0.7830786228948333,0.771035802223585,0.22896419777641497,0.771035802223585,0.22896419777641497
DNN,AutoPGD,0.2,0.595449719665529,0.5945944777731171,0.6596798085540606,0.6087887410059356,0.595449719665529,0.5814332699306368,0.6091025858126489,0.6087887410059356,0.3912112589940644,0.6087887410059356,0.3912112589940644
DNN,AutoPGD,0.3,0.5021891533811232,0.5330731213498332,0.6003032723168802,0.536989272040177,0.5021891533811232,0.4973968002043786,0.515125794061846,0.536989272040177,0.463010727959823,0.536989272040177,0.463010727959823
DNN,HopSkipJump,0,0.7684059980170395,0.7419214262779766,0.7896516212032975,0.7670501126157234,0.7684059980170395,0.7485753843463925,0.7740829510620326,0.7670501126157234,0.23294988738427652,0.7670501126157234,0.23294988738427652
DNN,ZOO,0,0.9189530670082741,0.9034980071987537,0.9202935797846785,0.9127787561441407,0.9189530670082741,0.9078711000886281,0.9194136942003651,0.9127787561441407,0.08722124385585925,0.9127787561441407,0.08722124385585925
DNN,ZOO,0.01,0.918996937817515,0.9035663716049842,0.9203255939527327,0.9127891130153574,0.918996937817515,0.9079139606411462,0.9194543954859394,0.9127891130153574,0.08721088698464263,0.9127891130153574,0.08721088698464263
DNN,ZOO,0.1,0.9189091961990331,0.9034262477419515,0.920263683250721,0.9127756898288573,0.9189091961990331,0.907829518967834,0.9193735248209455,0.9127756898288573,0.08722431017114274,0.9127756898288573,0.08722431017114274
DNN,ZOO,0.2,0.9186898421528283,0.9031367701491715,0.9200728310728287,0.9126145471337779,0.9186898421528283,0.9075961643390267,0.9191620749308733,0.9126145471337779,0.0873854528662221,0.9126145471337779,0.0873854528662221
DNN,ZOO,0.3,0.9187161646383729,0.9031817780168319,0.9200894426900934,0.9126120125893882,0.9187161646383729,0.9076203324863742,0.9191858532724685,0.9126120125893882,0.08738798741061185,0.9126120125893882,0.08738798741061185
DNN,BA,0.01,0.935623974519834,0.9205399602578781,0.9377843984101838,0.9353636092832925,0.935623974519834,0.9272867952365476,0.9361811258820747,0.9353636092832925,0.06463639071670746,0.9353636092832925,0.06463639071670746
DNN,BA,0.1,0.935483587930263,0.9203641294505324,0.9376606151842006,0.9352458968465756,0.935483587930263,0.92713409519942,0.9360443327634826,0.9352458968465756,0.06475410315342442,0.9352458968465756,0.06475410315342442
DNN,BA,0.2,0.9355186845776557,0.9204296280449903,0.9376759995090355,0.9352279363421897,0.9355186845776557,0.9271659140136252,0.9360759543517874,0.9352279363421897,0.06477206365781027,0.9352279363421897,0.06477206365781027
DNN,BA,0.3,0.9355362329013521,0.9204192962879297,0.9377148193478495,0.935313733317127,0.9355362329013521,0.9271945301802398,0.9360969160667791,0.935313733317127,0.06468626668287301,0.935313733317127,0.06468626668287301
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,BIM,0.01,0.9167156557369858,0.9012075855245936,0.9179450159572461,0.9097280233592451,0.9167156557369858,0.9052417333240921,0.9171530992097989,0.9097280233592451,0.09027197664075493,0.9097280233592451,0.09027197664075493
DNN,BIM,0.1,0.7998174974335577,0.7759578776865821,0.8229028910487198,0.8066753085192,0.7998174974335577,0.7837705118673904,0.8050495135017847,0.8066753085192,0.19332469148080006,0.8066753085192,0.19332469148080006
DNN,BIM,0.2,0.6353721560747909,0.6354593512676058,0.7007305018744912,0.6557890190921865,0.6353721560747909,0.6231093935194911,0.6476677259041711,0.6557890190921865,0.3442109809078135,0.6557890190921865,0.3442109809078135
DNN,BIM,0.3,0.5384615384615384,0.5594508219791744,0.6271052329792987,0.5675144038549016,0.5384615384615384,0.5311849409413079,0.5522839476675151,0.5675144038549016,0.4324855961450984,0.5675144038549016,0.4324855961450984
