model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,baseline,0,0.9997486942572449,0.7179527828383531,0.9995870890927312,0.7384359973083554,0.9997486942572449,0.727655762265474,0.9996666152178898,0.7384359973083554,0.2615640026916446,0.9999493602786892,5.0639721310723737e-05
DNN,BIM,0.01,0.9997445058281991,0.7164004457961891,0.9995817805313656,0.7345898434622016,0.9997445058281991,0.7250922546783142,0.9996619323741284,0.7345898434622016,0.2654101565377984,0.9999379739732085,6.202602679156494e-05
DNN,BIM,0.1,0.9993005323493317,0.7737918429151518,0.999161405229614,0.7290770131338083,0.9993005323493317,0.7458720438350162,0.9992150498533927,0.7290770131338083,0.2709229868661916,0.9996137470159114,0.00038625298408854396
DNN,BIM,0.2,0.9742411613676059,0.46445797627936825,0.9787912107267742,0.47066517372674116,0.9742411613676059,0.4479040134634598,0.9736404925330222,0.47066517372674116,0.5293348262732589,0.953333478479664,0.04666652152033591
DNN,BIM,0.3,0.9268197677097251,0.3409593141092118,0.9196082049682344,0.2284241045409094,0.9268197677097251,0.2251964667769554,0.9035445079972647,0.2284241045409094,0.7715758954590906,0.8374404364784864,0.16255956352151354
DNN,FGSM,0.01,0.9997445058281991,0.7164004457961891,0.9995817805313656,0.7345898434622016,0.9997445058281991,0.7250922546783142,0.9996619323741284,0.7345898434622016,0.2654101565377984,0.9999379739732085,6.202602679156494e-05
DNN,FGSM,0.1,0.9988691241576022,0.7691164280162539,0.9987262020848229,0.7203776157686388,0.9988691241576022,0.7393157918302216,0.9987863609521238,0.7203776157686388,0.2796223842313613,0.9992476665794318,0.0007523334205683212
DNN,FGSM,0.2,0.9795060166783245,0.6456542606586784,0.9802519096158271,0.5563451355535844,0.9795060166783245,0.5895182398217018,0.9791250669928909,0.5563451355535844,0.4436548644464156,0.9675411736727357,0.03245882632726428
DNN,FGSM,0.3,0.9562895544768024,0.4002601211549936,0.9522062830882005,0.325686069126493,0.9562895544768024,0.35033249061516025,0.9498640591859929,0.325686069126493,0.674313930873507,0.9073149811490572,0.09268501885094278
DNN,PGD,0.01,0.9997445058281991,0.7164004457961891,0.9995817805313656,0.7345898434622016,0.9997445058281991,0.7250922546783142,0.9996619323741284,0.7345898434622016,0.2654101565377984,0.9999379739732085,6.202602679156494e-05
DNN,PGD,0.1,0.9993005323493317,0.7737918429151518,0.999161405229614,0.7290770131338083,0.9993005323493317,0.7458720438350162,0.9992150498533927,0.7290770131338083,0.2709229868661916,0.9996137470159114,0.00038625298408854396
DNN,PGD,0.2,0.9742411613676059,0.46445797627936825,0.9787912107267742,0.47066517372674116,0.9742411613676059,0.4479040134634598,0.9736404925330222,0.47066517372674116,0.5293348262732589,0.953333478479664,0.04666652152033591
DNN,PGD,0.3,0.9268197677097251,0.3409593141092118,0.9196082049682344,0.2284241045409094,0.9268197677097251,0.2251964667769554,0.9035445079972647,0.2284241045409094,0.7715758954590906,0.8374404364784864,0.16255956352151354
